Id,ShopId,Comment,ItemId,ItemName,SortId,ItemPerMount,ItemPerPrice,isLock,SeverLevel,JobLimit,JobLimitText,BaseLvLimit,TaskLimit,TaskLimitText,PurchaseTimesLimit,TimeLimit,GuildBuildingLvLimit,LimitDisplay,Discount,OriginalPrice,DiscountIcon,PriceChange,CheckCommondata,CallLua,IsBindGive,MerchantDiscount,HandBookLvLimit,SecondsTips,LimitSex,OrtherPrice,LocalizationArea
表ID,商店ID,注释,道具ID,道具名,排序ID,单次购买数量,单次购买价格（货币ID=数量）,是否解锁（0未解锁，1解锁）,服务器等级限制,职业限制（职业ID可买），无限制配0,职业限制的文本显示,base等级限制（达到指定等级可买），无限制配0,剧情进度限制（完成指定任务ID后可买），无限制配0,剧情限制的文本显示,限购类型（0不限购、非0限购。限购类商品直接配Count表里的ID。）,时效（起始时间=结束时间），无限制配0,公会建筑等级限制,限制时显示类型（格式为x=y，x为枚举类型，y为类型参数。\r\nx=0时，表示为当该商品为受限商品时，不显示，隐藏掉。此时y无意义，可以配成0=0；\r\nx=1时，表示当该商品为受限商品时，沉底置灰显示。此时y无意义，可以配成1=0；\r\nx=2时，表示当该商品为受限商品时，需要根据玩家等级进行显示还是隐藏，此时y为玩家等级。举例2=60 表示该商品在玩家到达60级沉底置灰显示，在玩家未到达60级隐藏不显示。）,折扣，无配0,折扣原始价格,折扣图标,"价格变动（x|y|z|k，代表每x次变化y，z为变化的上限,k为0永不重置，1每日重置，2每周重置）",通过检查Commondata里数据来做限定\n格式A|B|C；A代表CommondataType；B代表CommondataId；C代表策划所设置的限定值,调用LUA,是否绑定给予0非绑1绑定,是否受商人折扣技能修正，1修正0不修正,魔物图鉴等级限制,二级界面提示,0或者不配含义为所有性别可见；1含义为男性可见；2含义为女性可见,第二消耗品（目前只支持4类型商店）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
101001,101,,2010001,红色药水,,1,101=150,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101002,101,,2010002,赤色药水,,1,101=600,1,,0,,35,0,,0,,,0=0,0,,,,,,0,1,,,,,
101003,101,,2010003,黄色药水,,1,101=1500,1,,0,,50,0,,0,,,0=0,0,,,,,,0,1,,,,,
101004,101,,2010005,蓝色药水,,1,101=500,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101005,101,,2010015,高级蓝色药水,,1,101=2000,1,,0,,35,0,,0,,,0=0,0,,,,,,0,1,,,,,
101008,101,,3027001,佣兵初级古卷,,1,101=4000,1,,0,,25,0,,0,,,0=0,0,,,,,,0,0,,,,,
101009,101,,3027002,佣兵中级古卷,,1,101=20000,1,,0,,25,0,,0,,,0=0,0,,,,,,0,0,,,,,
101010,101,,3027003,佣兵高级古卷,,1,101=100000,1,,0,,25,0,,0,,,0=0,0,,,,,,0,0,,,,,
101011,101,,2010014,万能药,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101012,101,,2031002,蝴蝶翅膀,,1,101=500,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101013,101,,2031003,苍蝇翅膀,,1,101=100,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101014,101,,2010012,马牌,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101015,101,,2020004,圣水,,1,101=200,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101016,101,,2020005,毒药瓶,,1,101=500,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101017,101,,2022001,陷阱道具,,1,101=200,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101018,101,,2020002,蓝色魔力矿石,,1,101=800,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101019,101,,2020001,红色魔力矿石,,1,101=800,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101020,101,,2010016,轻盈集中药水,,1,101=20000,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101021,101,,2010009,集中药水,,1,101=150000,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101022,101,,2031004,天地树叶子,,1,101=50000,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101023,101,,2021002,钢铁箭矢,,100,101=1498,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101024,101,,2021003,火灵箭矢,,100,101=2998,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101025,101,,2021004,水灵箭矢,,100,101=2998,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101026,101,,2021005,银箭矢,,100,101=2998,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101027,101,,2021006,风灵箭矢,,100,101=2998,1,,0,,0,0,,0,,,0=0,0,,,,,,,1,,,,,
101028,101,,2021007,地灵箭矢,,100,101=2998,1,,0,,0,0,,0,,,0=0,0,,,,,,0,1,,,,,
101029,101,,3040010,铁,,1,101=5000,1,,0,,0,0,,1,,,0=0,0,,,,,,1,0,,,,,
101030,101,,3040012,煤炭,,1,101=1500,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101031,101,,3040005,火灵原石,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101032,101,,3040006,水灵原石,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101033,101,,3040007,土灵原石,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101062,101,,3040008,风灵原石,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101063,101,,2035003,砖头,,1,101=10000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,1,,,,,
101064,101,,3024001,曲奇饼干,,1,101=40000,1,,0,,65,0,,0,,,0=0,0,,,,,,1,0,,,,,
101065,101,,2025001,火烟瓶,,100,101=6000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101066,101,,2025002,盐酸瓶,,100,101=6000,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101067,101,,2025003,噬人植物瓶,,10,101=2400,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101068,101,,2025004,刺锤瓶,,10,101=2400,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101069,101,,2025005,护贝药,,10,101=2400,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
101070,101,,2025006,艾普理欧,,10,101=2400,1,,0,,0,0,,0,,,0=0,0,,,,,,1,0,,,,,
