ID,SkillId,ProfessionId
主键,技能ID,职业Id
1,100001,1000
2,100002,1000
3,100003,1000
4,100005,1000
5,200001,2000
6,200002,2000
7,200003,2000
8,200004,2000
9,200005,2000
10,200006,2000
11,200007,2000
12,200009,2000
13,200010,2000
14,200011,2000
15,200012,2101
16,200013,2101
17,200022,2000
18,200027,2000
19,210101,2101
20,210103,2101
21,210104,2101
22,210105,2101
23,210106,2101
24,210107,2101
25,210108,2101
26,210109,2101
27,210112,2101
28,210113,2101
29,210114,2101
30,210115,2101
31,210119,2101
32,210201,2102
33,210202,2102
34,210203,2102
35,210204,2102
36,210205,2102
37,210206,2102
38,210207,2102
39,210208,2102
40,210209,2102
41,400001,4000
42,400002,4000
43,400003,4000
44,400004,4000
45,400005,4000
46,400006,4000
47,400007,4000
48,400008,4000
49,400009,4000
50,400010,4000
51,400011,4000
52,400012,4000
53,400013,4000
54,400014,4000
55,400015,4101
56,400016,4101
57,400017,4101
58,400030,4000
59,410101,4101
60,410102,4101
61,410103,4101
62,410104,4101
63,410105,4101
64,410106,4101
65,410108,4101
66,410110,4101
67,410111,4101
68,410112,4101
69,410114,4102
70,410201,4102
71,410202,4102
72,410204,4102
73,410205,4102
74,410206,4102
75,410207,4102
76,410208,4102
77,410209,4102
78,410210,4102
79,410212,4102
80,300001,3000
81,300002,3000
82,300003,3000
83,300004,3000
84,300005,3000
85,300006,3000
86,300007,3000
87,300008,3000
88,300009,3000
89,300010,3000
90,300011,3000
91,300012,3000
92,300013,3000
93,300014,3101
94,300015,3101
95,300016,3101
96,300025,3000
97,310101,3101
98,310102,3101
99,310103,3101
100,310104,3101
101,310105,3101
102,310106,3101
103,310107,3101
104,310108,3101
105,310109,3101
106,310111,3101
107,310112,3101
108,310114,3101
109,310201,3102
110,310202,3102
111,310203,3102
112,310204,3102
113,310205,3102
114,310206,3102
115,310207,3102
116,310208,3102
117,310209,3102
118,310210,3102
119,310211,3102
120,500001,5000
121,500002,5000
122,500003,5000
123,500005,5000
124,500007,5000
125,500008,5000
126,500009,5000
127,500010,5000
128,500011,5000
129,500022,5000
130,500024,5000
131,500025,5000
132,510101,5101
133,510102,5101
134,510103,5101
135,510104,5101
136,510105,5101
137,510106,5101
138,510107,5101
139,510109,5101
140,510110,5101
141,510111,5102
142,510112,5101
143,510113,5101
144,510115,5101
145,510116,5101
146,510201,5102
147,510202,5102
148,510203,5102
149,510204,5102
150,510205,5102
151,510206,5102
152,510207,5102
153,510208,5102
154,510209,5102
155,700001,7000
156,700002,7000
157,700003,7000
158,700004,7000
159,700005,7000
160,700006,7000
161,700008,7000
162,700009,7000
163,700010,7000
164,700017,7000
165,710103,7101
166,710106,7101
167,710107,7101
168,710108,7101
169,710109,7101
170,710110,7101
171,710112,7101
172,710114,7101
173,710116,7101
174,710118,7101
175,710120,7101
176,710122,7101
177,710125,7101
178,710128,7101
179,710132,7101
180,710201,7102
181,710202,7102
182,710203,7102
183,710204,7102
184,710205,7102
185,710207,7102
186,710208,7102
187,710210,7102
188,710212,7102
189,710217,7102
190,710218,7102
191,710219,7102
192,710220,7102
193,710224,7102
194,600001,6000
195,600002,6000
196,600003,6000
197,600004,6000
198,600005,6000
199,600006,6000
200,600008,6000
201,600009,6000
202,600010,6000
203,600012,6000
204,600013,6000
205,600014,6000
206,600015,6000
207,600016,6000
208,610101,6101
209,610102,6101
210,610103,6101
211,610104,6101
212,610105,6101
213,610106,6101
214,610107,6101
215,610108,6101
216,610112,6101
217,610113,6101
218,610114,6101
219,610115,6101
220,610116,6101
221,610117,6101
222,610118,6101
223,610120,6101
224,610121,6101
225,610122,6000
226,610123,6101
227,610201,6102
228,610202,6102
229,610203,6102
230,610204,6102
231,610205,6102
232,610206,6102
233,610208,6102
234,610210,6102
235,610211,6102
236,610212,6102
237,610216,6102
238,610217,6102
239,610218,6102
